id,url,stanza,title,explanation
wordsworth-0,https://www.poemhunter.com/poem/i-wandered-lonely-as-a-cloud-daffodils/,"I wandered lonely as a cloud
That floats on high o'er vales and hills,
When all at once I saw a crowd,
A host, of golden daffodils;
Beside the lake, beneath the trees,
Fluttering and dancing in the breeze.",I Wandered Lonely As A Cloud (Daffodils),I walked by myself like a cloud that hovers over valleys and hills when suddenly I came across a group of golden daffodils swaying and moving in the wind by the lake and under the trees.
wordsworth-0,https://www.poemhunter.com/poem/i-wandered-lonely-as-a-cloud-daffodils/,"Continuous as the stars that shine
And twinkle on the milky way,
They stretched in never-ending line
Along the margin of a bay:
Ten thousand saw I at a glance,
Tossing their heads in sprightly dance.",I Wandered Lonely As A Cloud (Daffodils),"I saw a never-ending line of waves along the shore of a bay, as numerous as the stars that twinkle on the milky way. There were so many that I couldn't count them all, but they were all dancing joyfully and tossing their heads in unison."
wordsworth-0,https://www.poemhunter.com/poem/i-wandered-lonely-as-a-cloud-daffodils/,"The waves beside them danced; but they
Out-did the sparkling waves in glee:
A poet could not but be gay,
In such a jocund company:
I gazed- and gazed- but little thought
What wealth the show to me had brought:",I Wandered Lonely As A Cloud (Daffodils),"The waves danced beside them, but the couple was even more joyful. A poet couldn't help but feel happy in their lively presence. As the speaker watched them, they didn't realize at the time how much this experience would mean to them."
wordsworth-0,https://www.poemhunter.com/poem/i-wandered-lonely-as-a-cloud-daffodils/,"For oft, when on my couch I lie
In vacant or in pensive mood,
They flash upon that inward eye
Which is the bliss of solitude;
And then my heart with pleasure fills,
And dances with the daffodils.",I Wandered Lonely As A Cloud (Daffodils),"Sometimes, when I am lying on my couch in a state of relaxation or contemplation, memories of daffodils come to mind and fill me with joy. These memories bring a sense of blissful solitude to my heart and cause it to dance with happiness."
wordsworth-1,https://www.poemhunter.com/poem/a-character/,"I marvel how Nature could ever find space
For so many strange contrasts in one human face:
There's thought and no thought, and there's paleness and bloom
And bustle and sluggishness, pleasure and gloom.",A Character,"It is amazing to me how Nature can fit so many opposing qualities into one human face. There can be both intelligence and vacancy, as well as both a lack of color and a bright radiance. There can be both energy and lethargy, as well as both happiness and sadness."
wordsworth-1,https://www.poemhunter.com/poem/a-character/,"There's weakness, and strength both redundant and vain;
Such strength as, if ever affliction and pain
Could pierce through a temper that's soft to disease,
Would be rational peace--a philosopher's ease.",A Character,"Both weakness and strength are useless and meaningless. Even if one possesses great strength, it is of no use when faced with affliction and pain. The only true strength lies in developing a peaceful temperament that can withstand the hardships of life with ease, like that of a philosopher."
wordsworth-1,https://www.poemhunter.com/poem/a-character/,"There's indifference, alike when he fails or succeeds,
And attention full ten times as much as there needs;
Pride where there's no envy, there's so much of joy;
And mildness, and spirit both forward and coy.",A Character,"The person described exhibits an attitude of indifference towards both success and failure, and receives an excessive amount of attention. They experience pride without envy, and have a balance of both assertiveness and shyness."
wordsworth-1,https://www.poemhunter.com/poem/a-character/,"There's freedom, and sometimes a diffident stare
Of shame scarcely seeming to know that she's there,
There's virtue, the title it surely may claim,
Yet wants heaven knows what to be worthy the name.",A Character,"Freedom and shame coexist, with the latter seeming unaware of the former's presence. Virtue is present but lacks certain qualities necessary to truly deserve the title."
wordsworth-1,https://www.poemhunter.com/poem/a-character/,"This picture from nature may seem to depart,
Yet the Man would at once run away with your heart;
And I for five centuries right gladly would be
Such an odd such a kind happy creature as he.",A Character,"The image of this creature found in nature may appear strange, but it has the ability to capture one's heart. The speaker expresses their desire to be like this creature for the next five centuries due to its odd yet kind nature."
wordsworth-2,https://www.poemhunter.com/poem/she-dwelt-among-the-untrodden-ways-3/,"She dwelt among the untrodden ways
Beside the springs of Dove,
Maid whom there were none to praise
And very few to love:",She Dwelt Among The Untrodden Ways,"This poem describes a woman who lived in a secluded place, near the springs of Dove. She was a maid who nobody praised or loved, except for a few."
wordsworth-2,https://www.poemhunter.com/poem/she-dwelt-among-the-untrodden-ways-3/,"A violet by a mossy stone
Half hidden from the eye!
---Fair as a star, when only one
Is shining in the sky.",She Dwelt Among The Untrodden Ways,"A beautiful violet is growing by a mossy stone, but it is partially hidden from view. The violet is as lovely as a lone star shining in the sky."
wordsworth-2,https://www.poemhunter.com/poem/she-dwelt-among-the-untrodden-ways-3/,"She lived unknown, and few could know
When Lucy ceased to be;
But she is in her grave, and, oh,
The difference to me!",She Dwelt Among The Untrodden Ways,"Lucy had lived her life in obscurity, and her passing went unnoticed by most. However, now that she has been laid to rest, her absence is deeply felt by the speaker."
wordsworth-3,https://www.poemhunter.com/poem/a-night-thought/,"Lo! where the Moon along the sky
Sails with her happy destiny;
Oft is she hid from mortal eye
Or dimly seen,
But when the clouds asunder fly
How bright her mien!",A Night Thought,"Look up and behold the Moon as she glides across the sky, fulfilling her joyful fate. Sometimes she is obscured from view or barely visible, but when the clouds part, her radiance shines brilliantly."
wordsworth-3,https://www.poemhunter.com/poem/a-night-thought/,"Far different we--a froward race,
Thousands though rich in Fortune's grace
With cherished sullenness of pace
Their way pursue,
Ingrates who wear a smileless face
The whole year through.",A Night Thought,"We are a stubborn people, completely unlike others who are blessed with good fortune. Despite our abundance, we choose to move forward with a sullen attitude, ungrateful for what we have. We wear a smileless face, day in and day out, all year long."
wordsworth-3,https://www.poemhunter.com/poem/a-night-thought/,"If kindred humours e'er would make
My spirit droop for drooping's sake,
From Fancy following in thy wake,
Bright ship of heaven!
A counter impulse let me take
And be forgiven.",A Night Thought,"If my mood ever becomes down just for the sake of being down because of similar personalities, may I counteract it by following your lead, oh beautiful ship of heaven, through the power of imagination and be forgiven for my previous state."
wordsworth-4,https://www.poemhunter.com/poem/it-was-an-april-morning-fresh-and-clear/,"It was an April morning: fresh and clear
The Rivulet, delighting in its strength,
Ran with a young man's speed; and yet the voice
Of waters which the winter had supplied
Was softened down into a vernal tone.",It Was An April Morning: Fresh And Clear,"The morning of April was refreshing and the Rivulet flowed swiftly like a young man. Despite being fed by winter waters, the sound of the stream was now gentler and more suitable for springtime."
wordsworth-4,https://www.poemhunter.com/poem/it-was-an-april-morning-fresh-and-clear/,"The spirit of enjoyment and desire,
And hopes and wishes, from all living things
Went circling, like a multitude of sounds.
The budding groves seemed eager to urge on
The steps of June; as if their various hues
Were only hindrances that stood between
Them and their object: but, meanwhile, prevailed
Such an entire contentment in the air
That every naked ash, and tardy tree
Yet leafless, showed as if the countenance
With which it looked on this delightful day
Were native to the summer.--Up the brook
I roamed in the confusion of my heart,
Alive to all things and forgetting all.",It Was An April Morning: Fresh And Clear,"The joy and desire of all living things, along with their hopes and wishes, seemed to fill the air like a chorus of sounds. The groves were eager for June to arrive, as if their various colors were the only thing standing in the way of their desire. However, there was a sense of complete contentment in the atmosphere, causing even the naked ash and leafless trees to appear as though they belonged in the summer. Lost in the moment, I wandered along the brook, fully alive to everything and forgetting all else."
wordsworth-4,https://www.poemhunter.com/poem/it-was-an-april-morning-fresh-and-clear/,"At length I to a sudden turning came
In this continuous glen, where down a rock
The Stream, so ardent in its course before,
Sent forth such sallies of glad sound, that all
Which I till then had heard, appeared the voice
Of common pleasure: beast and bird, the lamb,
The shepherd's dog, the linnet and the thrush
Vied with this waterfall, and made a song,
Which, while I listened, seemed like the wild growth
Or like some natural produce of the air,
That could not cease to be. Green leaves were here;",It Was An April Morning: Fresh And Clear,"I walked along the glen until I reached a sudden bend where a stream flowed down a rock, creating a joyful sound that was unlike anything I had heard before. It seemed to be the source of all the pleasure in the area, as the animals and birds, including lambs, dogs, linnets, and thrushes, sang along with it, creating a song that felt like it was a natural part of the environment. The sound was so captivating that it seemed like it was a wild and organic creation of the air that couldn't be stopped. The area was lush with green leaves and the experience was a tranquil and peaceful one."
wordsworth-4,https://www.poemhunter.com/poem/it-was-an-april-morning-fresh-and-clear/,"But 'twas the foliage of the rocks--the birch,
The yew, the holly, and the bright green thorn,
With hanging islands of resplendent furze:
And, on a summit, distant a short space,
By any who should look beyond the dell,
A single mountain-cottage might be seen.",It Was An April Morning: Fresh And Clear,"The rocks were covered in a variety of foliage, including birch, yew, holly, and thorn. Islands of vibrant furze hung from the rocks. A mountain-cottage could be seen on a summit, but only if one looked beyond the dell and a short distance away."
wordsworth-4,https://www.poemhunter.com/poem/it-was-an-april-morning-fresh-and-clear/,"I gazed and gazed, and to myself I said,
'Our thoughts at least are ours; and this wild nook,
My EMMA, I will dedicate to thee.'
----Soon did the spot become my other home,
My dwelling, and my out-of-doors abode.",It Was An April Morning: Fresh And Clear,"The speaker looked intently at a place and thought that even though everything in the world may not belong to them, their thoughts do. They decided to dedicate the spot to Emma. After spending some time there, it became a second home to the speaker, where they lived and spent time outside."
wordsworth-4,https://www.poemhunter.com/poem/it-was-an-april-morning-fresh-and-clear/,"And, of the Shepherds who have seen me there,
To whom I sometimes in our idle talk
Have told this fancy, two or three, perhaps,
Years after we are gone and in our graves,
When they have cause to speak of this wild place,
May call it by the name of EMMA'S DELL.",It Was An April Morning: Fresh And Clear,"Some of the Shepherds who have seen me in a certain place, which I have referred to as ""Emma's Dell"" in casual conversation, may remember it by that name in the future. This may happen years later when they have reason to mention the location."
wordsworth-5,https://www.poemhunter.com/poem/the-world-is-too-much-with-us-late-and-soon-2/,"The world is too much with us; late and soon,
Getting and spending, we lay waste our powers:
Little we see in Nature that is ours;
We have given our hearts away, a sordid boon!
This Sea that bares her bosom to the moon;",The World Is Too Much With Us; Late And Soon,"The speaker laments that humanity is too consumed with materialism and disregards the beauty of nature. We waste our energy on acquiring possessions and overlook the natural world that belongs to us. Our hearts have been given away in exchange for a selfish and shallow existence. The sea, which reveals itself to the moon, is an example of the natural world that we fail to appreciate."
wordsworth-5,https://www.poemhunter.com/poem/the-world-is-too-much-with-us-late-and-soon-2/,"The winds that will be howling at all hours,
And are up-gathered now like sleeping flowers;
For this, for everything, we are out of tune,
It moves us not.--Great God! I'd rather be
A Pagan suckled in a creed outworn;",The World Is Too Much With Us; Late And Soon,"The winds are going to be howling constantly, and they are currently as still as flowers that are resting. We are not in harmony with anything, including this state of being. It doesn't affect us. I would prefer to be a Pagan who was raised in an outdated belief system rather than feeling out of tune with the world."
wordsworth-5,https://www.poemhunter.com/poem/the-world-is-too-much-with-us-late-and-soon-2/,"So might I, standing on this pleasant lea,
Have glimpses that would make me less forlorn;
Have sight of Proteus rising from the sea;
Or hear old Triton blow his wreathed horn.",The World Is Too Much With Us; Late And Soon,"Standing on a beautiful meadow, I could have moments of joy and feel less lonely. I may see the mythical figure of Proteus emerging from the sea, or hear the sound of Triton's twisted horn."
